frame,time_sec,dribble_type,left_knee_angle,right_knee_angle,left_hip_angle,right_hip_angle,left_elbow_angle,right_elbow_angle,left_ankle_angle,right_ankle_angle,left_knee_velocity,right_knee_velocity,left_hip_velocity,right_hip_velocity,left_elbow_velocity,right_elbow_velocity,left_ankle_velocity,right_ankle_velocity,left_knee_load,right_knee_load,left_hip_load,right_hip_load,left_elbow_load,right_elbow_load,left_ankle_load,right_ankle_load,knee_asymmetry,hip_asymmetry,ankle_asymmetry,elbow_asymmetry,max_load,max_load_joint
0,0.0,Crossover-like,66.50475570124489,62.19996841821292,58.43797821817925,136.90493389261,97.47548895029921,115.40900091499692,157.51232321587077,49.62769704252157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.142048698932456,25.670865625704852,2.5697741387629702,0.0,0.0,0.0,25.3135911566557,15.87544737007336,4.3047872830319704,78.46695567443074,107.8846261733492,17.933511964697715,25.670865625704852,right_knee_load
1,0.03333333333333333,Crossover-like,109.8874944656602,129.3745270167892,102.02034559979961,143.52654035444763,101.80415729254622,125.62762707092118,165.08475463186423,139.3767955489078,1301.4821629324592,2015.236757957288,1307.4710214486108,198.6481938551293,129.8600502674104,306.55878467772766,227.1729424798039,2692.4729551915875,47.07866584999497,47.07866584999497,47.07866584999497,6.21499396457057,0.8012061017549477,14.118705238106877,39.680598017676495,47.07866584999497,19.48703255112899,41.50619475464802,25.70795908295642,23.823469778374957,47.07866584999497,left_knee_load
2,0.06666666666666667,Crossover-like,134.9370743400125,139.77283496983583,126.35146453339942,148.64218088419042,113.95037087320303,126.8113960925374,166.76996658386352,149.2676926098115,751.4873962305687,311.9492385913992,729.9335680079944,153.46921589228373,364.38640741970414,35.51307064848643,50.556358559978776,296.7269118271105,40.261859928995825,14.495565244638165,39.20209160915755,2.693645158235536,18.07638111875891,0.0,35.992255986093014,25.81767996694795,4.835760629823341,22.290716350791,17.50227397405203,12.861025219334365,40.261859928995825,left_knee_load
3,0.1,Crossover-like,158.37708949641777,158.08034066143983,150.09073291171086,158.3499067209142,129.87416602500727,128.5068085482261,171.6928633160112,159.23209734658096,703.2004546921585,549.2251707481203,712.1780513493431,291.231775101713,477.71385455412724,50.86237367066133,147.68690196443032,298.932142103084,37.86150903554294,29.544135363715483,38.31497223296254,13.038055573634521,25.311282301270445,0.0,42.35131618539305,37.281698431288156,0.29674883497793303,8.259173809203332,12.460765969430241,1.3673574767811658,42.35131618539305,left_ankle_load
4,0.13333333333333333,Crossover-like,161.3781023997567,165.74149124565795,152.40354397697055,162.3266748556482,131.6790943985031,129.01658971465665,173.89273899450242,163.22731768152622,90.03038710016796,229.8345175265436,69.38433195779083,119.30304404202047,54.147851204875224,15.293434992916275,65.99627035473674,119.85661004835777,0.0,8.57110144333928,0.0,0.0,0.0,0.0,43.15710679779551,32.099172289563946,4.363388845901255,9.923130878677654,10.665421312976207,2.662504683846464,43.15710679779551,left_ankle_load
5,0.16666666666666666,Crossover-like,162.52382192419284,166.27557172758364,153.6222934964184,162.55903457831656,144.49582137239494,130.70559008746307,173.83238702042604,166.55438157565533,34.37158573308437,16.022414457770537,36.562485583435205,6.970791680050468,384.50180921675496,50.67001118419256,1.810559222291488,99.81191682387333,0.0,0.0,0.0,0.0,19.409871313127237,0.0,43.09990168532373,35.761857145859196,3.751749803390794,8.936741081898163,7.278005444770713,13.790231284931878,43.09990168532373,left_ankle_load
6,0.2,Crossover-like,158.90955107567896,159.10186138778715,155.1898653794321,162.11050969239864,140.8473319912613,115.99153903014506,172.43818715362576,154.7098997621456,108.42812545541648,215.21131019389458,47.02715649041096,13.455746577537582,109.45468143400888,441.4215317195401,41.825996004008346,355.3344544052919,0.0,7.4737895230404305,0.0,0.0,0.0,23.06674966716016,41.762252124089535,35.41337258965963,0.19231031210819083,6.9206443129665445,17.728287391480166,24.85579296111625,41.762252124089535,left_ankle_load
7,0.23333333333333334,Crossover-like,157.6363360946865,156.74749062642783,156.80164269610162,162.58901628925358,152.69783580430507,117.28491743980905,168.25970892587918,151.87191334519173,38.19644942977391,70.6311228407796,48.353319500085945,14.355197905648254,355.51511439131275,38.801352289919606,125.35434683239743,85.13959250861603,0.0,0.0,0.0,0.0,17.481295589833646,0.0,37.83409558051153,17.95195719472027,0.8888454682586655,5.787373593151955,16.387795580687452,35.41291836449602,37.83409558051153,left_ankle_load
8,0.26666666666666666,Crossover-like,158.74306312078517,157.43401721514968,156.27429698753534,162.48727380850895,140.83354285424514,116.60810660571961,169.46243332737168,152.41030433524034,33.201810782960024,20.59579766165541,15.820371256988608,3.0522744223389964,355.928788501798,20.304325022683116,36.081732044775094,16.15172970145835,0.0,0.0,0.0,0.0,17.509140653180122,0.0,38.80107460053222,18.684895996394445,1.309045905635486,6.2129768209736085,17.052128992131344,24.225436248525526,38.80107460053222,left_ankle_load
9,0.3,Crossover-like,167.062285389015,170.10277052309263,158.74242062470293,168.20037542394098,138.92681782142125,120.4420074210621,176.90945706763594,163.94847884743228,249.57666804689467,380.0625992382885,74.04370911502781,171.39304846296113,57.20175098471657,115.01702446027465,223.4107122079277,346.1452353657583,10.031918660168282,19.117466190895282,0.0,4.106219528879129,0.0,0.0,50.31789269631559,44.21371240903699,3.0404851340776418,9.457954799238053,12.960978220203657,18.48481040035915,50.31789269631559,left_ankle_load
10,0.3333333333333333,Crossover-like,169.3455292469921,172.58893115429882,159.80787144783054,169.35457719134777,140.85813959893903,118.56075079954205,179.61036540924488,166.41241238258013,68.49731573931336,74.58481893618568,31.963524693828163,34.62605302220368,57.93965332553341,56.43769864560156,81.0272502482681,73.91800605443535,0.0,0.0,0.0,0.0,0.0,0.0,48.32379473893978,35.60967989108045,3.243401907306719,9.546705743517236,13.197953026664749,22.297388799396984,48.32379473893978,left_ankle_load
11,0.36666666666666664,Crossover-like,151.8537977429067,135.45319796570752,145.3812791706146,133.8345922896994,174.08777028324104,142.66024576236757,175.19238459839661,162.66143000182544,524.7519451225622,1114.071995657739,432.79776831647837,1065.599547049451,996.8889205290602,722.9848488847655,132.5394243254479,112.52947142264077,28.12324031852843,47.07866584999497,22.52356144347565,47.07866584999497,47.07866584999497,38.856442244441915,44.94128599933342,31.45573876924409,16.400599777199176,11.546686880915189,12.530954596571178,31.427524520873476,47.07866584999497,right_knee_load
12,0.4,Crossover-like,158.6750522153496,176.8891105358626,166.50897927131416,178.53358430729014,75.87474624106098,35.61250241662704,171.09246468002652,147.1313830991439,204.6376341732875,1243.077377104653,633.831003020987,1340.9697605277222,2946.390721265402,3211.4323003722156,122.99759755110273,465.901407080446,6.672155569727456,47.07866584999497,34.24335418632691,47.07866584999497,47.07866584999497,64.75413361993876,40.58677474877849,33.03903378362391,18.214058320513004,12.02460503597598,23.96108158088262,40.26224382443394,64.75413361993876,right_elbow_load
13,0.43333333333333335,Crossover-like,143.76591899662054,150.1782803478233,147.42257064327208,146.59877675277838,70.81551423788473,158.83436748909486,156.19899969682243,134.12379125344097,447.273996561872,801.3249056411797,572.5922588412624,958.044226635353,151.77696009528745,3696.6559521740346,446.8039494961229,390.227755371088,23.43321022480055,42.64209305288269,30.874587839425203,47.07866584999497,2.5592084714458063,47.07866584999497,41.52708889915778,19.785471542490285,6.4123613512027475,0.8237938904937039,22.075208443381456,88.01885325121013,47.07866584999497,right_hip_load
14,0.4666666666666667,Crossover-like,133.84154470862137,158.89935856445342,139.28096789705077,170.08151209162077,168.35114579119175,169.11365613451875,171.3929118854259,144.96075659816492,297.73122863997514,261.632346498904,244.24808238663928,704.4820601652716,2926.068946599211,308.3786593627167,455.8173656581039,325.1089603417185,13.497958215875416,10.912474367909542,9.639946235309626,37.92644701607514,47.07866584999497,14.246122553550954,54.94075785125456,22.121291534473777,25.057813855832052,30.800544194569994,26.43215528726097,0.7625103433269942,54.94075785125456,left_ankle_load
15,0.5,Front Dribble,61.059403241469795,53.60402788394849,63.985764451614806,85.62449971220246,55.25394079472865,15.675373195858615,121.91828696660527,179.66807568698908,2183.464244014547,3158.859920415148,2258.8561033630785,2533.710371382549,3392.9161498938934,4603.148488159804,1484.2387475646187,1041.2195726647249,61.404722015405746,65.91444522090659,47.07866584999497,47.07866584999497,51.10351253741208,74.71875618640539,47.07866584999497,72.67855418355427,7.455375357521305,21.63873526058766,57.74978872038382,39.57856759887004,74.71875618640539,right_elbow_load
